cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength,cement_cat,slag_cat,ash_cat,water_cat,superplastic_cat,coarseagg_cat,fineagg_cat,age_cat
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89,niedrig,hoch,niedrig,hoch,niedrig,mittel,niedrig,niedrig
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,niedrig,mittel,hoch,niedrig,hoch,hoch,mittel,niedrig
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22,mittel,niedrig,mittel,mittel,mittel,mittel,hoch,niedrig
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,mittel,mittel,niedrig,hoch,niedrig,niedrig,niedrig,niedrig
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29,niedrig,hoch,niedrig,hoch,hoch,hoch,niedrig,niedrig
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86,mittel,niedrig,niedrig,mittel,niedrig,niedrig,hoch,hoch
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75,niedrig,hoch,niedrig,hoch,niedrig,mittel,niedrig,niedrig
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64,mittel,niedrig,hoch,mittel,mittel,hoch,mittel,hoch
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65,mittel,niedrig,niedrig,mittel,niedrig,hoch,mittel,niedrig
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.99,niedrig,hoch,hoch,hoch,mittel,niedrig,niedrig,niedrig
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35,niedrig,hoch,hoch,niedrig,hoch,mittel,niedrig,niedrig
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94,niedrig,mittel,niedrig,mittel,niedrig,mittel,hoch,niedrig
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92,hoch,niedrig,niedrig,mittel,niedrig,mittel,mittel,niedrig
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,mittel,hoch,niedrig,hoch,niedrig,niedrig,niedrig,niedrig
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89,niedrig,hoch,hoch,mittel,mittel,niedrig,niedrig,niedrig
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97,niedrig,mittel,mittel,mittel,mittel,hoch,mittel,hoch
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,mittel,hoch,niedrig,hoch,niedrig,niedrig,niedrig,niedrig
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28,44.86,hoch,niedrig,niedrig,mittel,mittel,mittel,hoch,niedrig
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04,niedrig,niedrig,hoch,niedrig,mittel,hoch,hoch,niedrig
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1,mittel,niedrig,niedrig,mittel,mittel,mittel,hoch,niedrig
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36,mittel,niedrig,hoch,hoch,mittel,hoch,mittel,niedrig
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92,mittel,hoch,niedrig,mittel,niedrig,mittel,niedrig,niedrig
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42,mittel,hoch,niedrig,mittel,niedrig,mittel,niedrig,niedrig
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3,niedrig,hoch,hoch,mittel,mittel,niedrig,niedrig,niedrig
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74,hoch,niedrig,niedrig,mittel,niedrig,hoch,hoch,niedrig
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3,mittel,hoch,niedrig,niedrig,hoch,niedrig,hoch,niedrig
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,mittel,mittel,niedrig,hoch,niedrig,niedrig,niedrig,hoch
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,hoch,mittel,niedrig,niedrig,hoch,niedrig,hoch,hoch
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54,niedrig,niedrig,hoch,mittel,mittel,hoch,mittel,niedrig
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.8,mittel,mittel,mittel,mittel,mittel,niedrig,niedrig,niedrig
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04,hoch,niedrig,niedrig,hoch,niedrig,mittel,mittel,niedrig
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,hoch,niedrig,niedrig,hoch,niedrig,niedrig,niedrig,niedrig
